,project_id,project_name,project_budget,start_date,end_date,department_id
0,201,Website Overhaul,60000,2024-01-15,2025-06-30,1
1,202,Social Media Strategy,45000,2024-02-20,2025-09-10,2
2,203,Product Launch,80000,2024-03-30,2025-12-31,3
3,204,CRM Integration,50000,2022-01-20,2023-01-20,1
4,205,Brand Repositioning,70000,2022-04-01,2023-04-01,2
5,206,Mobile App Development,70000,2024-06-10,2025-08-15,1
6,207,SEO Optimization,50000,2024-08-01,2025-11-01,2
7,208,Customer Support System,55000,2022-12-15,2022-12-15,3
8,209,Market Research,30000,2022-03-25,2023-03-25,4
9,210,New Marketing Campaign,60000,2024-09-10,2025-12-10,4
